iter	RMSE
191	5616.491119
192	5614.366024
193	5611.964011
194	5609.470411
195	5606.452048
196	5604.287286
197	5601.066532
198	5600.377484
199	5598.539154
200	5596.707233
201	5593.943776
202	5591.863563
203	5589.207952
204	5586.315427
205	5584.050282
206	5582.608961
207	5580.083297
208	5578.098896
209	5576.277477
210	5573.676624
211	5572.092325
212	5570.289951
213	5568.363362
214	5566.83404
215	5565.387144
216	5564.121507
217	5560.64604
218	5559.533504
219	5557.954888
220	5556.865685
221	5555.001514
222	5553.469625
223	5551.684638
224	5550.459744
225	5549.30981
226	5547.680719
227	5546.755536
228	5544.307547
229	5540.962622
230	5539.234653
231	5537.947316
232	5535.36019
233	5533.927722
234	5531.788565
235	5530.512768
236	5528.478608
237	5526.51416
238	5524.346486
239	5522.902157
240	5519.98883
241	5518.704907
242	5518.103254
243	5515.414338
244	5514.1012
245	5512.173633
246	5509.412422
247	5507.570009
248	5506.249068
249	5504.90509
250	5503.568246
251	5501.627037
252	5500.458441
253	5497.908891
254	5496.76888
255	5496.008932
256	5493.040121
257	5491.833859
258	5489.337555
259	5487.326149
260	5486.266848
261	5484.927538
262	5483.066936
263	5482.274093
264	5480.212333
265	5478.129662
266	5477.105434
267	5476.211567
268	5474.590921
269	5472.357673
270	5470.245705
271	5469.318879
272	5467.350445
273	5466.4197
274	5463.984352
275	5461.512054
276	5460.929585
277	5459.999274
278	5458.884969
279	5457.713819
280	5456.453464
281	5455.026761
282	5454.084145
283	5452.487057
284	5450.481178
285	5449.299659
286	5447.560693
287	5446.073283
288	5445.081486
289	5443.776829
290	5442.463563
291	5441.343318
292	5440.27873
293	5438.348919
294	5437.185245
295	5435.563335
296	5434.781618
297	5433.681749
298	5431.81032
299	5430.485177
300	5428.707992
301	5426.897897
302	5425.325073
303	5423.708867
304	5421.603018
305	5420.42582
306	5419.733177
307	5417.917637
308	5417.19348
309	5415.044285
310	5413.874649
311	5412.349883
312	5411.56549
313	5410.482102
314	5408.026982
315	5405.925046
316	5405.265875
317	5403.208162
318	5400.568147
319	5399.401122
320	5398.854011
321	5396.832627
322	5395.957697
323	5394.016848
324	5392.512088
325	5391.174391
326	5389.826332
327	5388.241742
328	5386.154913
329	5384.72686
330	5383.605709
331	5382.824367
332	5381.769677
333	5380.797858
334	5380.247208
335	5379.52978
336	5378.282125
337	5377.361012
338	5375.957539
339	5374.852335
340	5374.1146
341	5373.431818
342	5371.453945
343	5370.311931
344	5368.618655
345	5367.73103
346	5366.923773
347	5365.074753
348	5363.892182
349	5362.663313
350	5361.787909
351	5360.114235
352	5359.397816
353	5358.575122
354	5357.493305
355	5357.147915
356	5355.158168
357	5353.495749
358	5352.547676
359	5350.891143
360	5349.909533
361	5349.205824
362	5347.791451
363	5347.079927
364	5346.736842
365	5345.626195
366	5344.758778
367	5343.767544
368	5342.425508
369	5341.188279
370	5339.882727
371	5339.122137
372	5337.102017
373	5336.435351
374	5335.698915
375	5334.190398
376	5333.303137
377	5332.376894
378	5331.808922
379	5330.53768
380	5329.401565
381	5328.523584
382	5327.468443
383	5326.293013
384	5324.763948
385	5323.765059
386	5322.803751
387	5321.676156
388	5320.427935
389	5319.450192
390	5317.903684
391	5316.917206
392	5316.487791
393	5315.801382
394	5314.420598
395	5313.562608
396	5313.076429
397	5312.342821
398	5311.665538
399	5309.259409
400	5308.34006
401	5306.72069
402	5306.175828
403	5305.118612
404	5304.232443
405	5303.359679
406	5302.295422
407	5301.594832
408	5300.336436
409	5299.745065
410	5298.842053
411	5297.77885
412	5297.026113
413	5296.198221
414	5294.190188
415	5292.769239
416	5292.065248
417	5291.254504
418	5290.288583
419	5289.778276
420	5288.965046
421	5288.098081
422	5286.759094
423	5285.772032
424	5284.790606
425	5283.860382
426	5283.164248
427	5282.605307
428	5280.586887
429	5279.664989
430	5278.118613
431	5277.08949
432	5276.547979
433	5275.072377
434	5273.776296
435	5272.972103
436	5271.825993
437	5270.794686
438	5269.536655
439	5268.706106
440	5267.912562
441	5267.411272
442	5266.508723
443	5265.435141
444	5264.38694
445	5263.253738
446	5262.122531
447	5260.323714
448	5259.504632
449	5258.709539
450	5257.861438
451	5257.240485
452	5256.159971
453	5255.269896
454	5254.385834
455	5253.82953
456	5253.440177
457	5252.798694
458	5251.949505
459	5250.721965
460	5250.306677
461	5249.60539
462	5248.708285
463	5247.715214
464	5246.780957
465	5245.991194
466	5245.122788
467	5244.443814
468	5243.26951
469	5242.410961
470	5241.525757
471	5240.844062
472	5240.071442
473	5239.545722
474	5238.975496
475	5237.682573
476	5236.893927
477	5236.478139
478	5234.711167
479	5234.143596
480	5233.784409
481	5233.179355
482	5232.279987
483	5231.727734
484	5230.946125
485	5230.450801
486	5229.741719
487	5229.148371
488	5228.329629
489	5227.530564
490	5226.061292
491	5224.998331
492	5223.852657
493	5223.256433
494	5222.690486
495	5221.591718
496	5221.15601
497	5220.483167
498	5219.785383
499	5219.426328
500	5218.668633
501	5217.869686
502	5216.870837
503	5216.214047
504	5215.121111
505	5214.593671
506	5213.818478
507	5213.123731
508	5212.563174
509	5212.055867
510	5211.121186
511	5209.428266
512	5208.994977
513	5208.275395
514	5207.587042
515	5206.633137
516	5206.034405
517	5205.521808
518	5204.902687
519	5204.386827
520	5203.346547
521	5202.706314
522	5202.442486
523	5201.446398
524	5200.976304
525	5200.532821
526	5199.797161
527	5198.890744
528	5198.397721
529	5198.055295
530	5197.135175
531	5196.637916
532	5196.109453
533	5195.73913
534	5195.380844
535	5194.967544
536	5194.25542
537	5193.944446
538	5193.494951
539	5192.833924
540	5192.335034
541	5191.781453
542	5191.110184
543	5190.177796
544	5189.283106
545	5188.774653
546	5188.371195
547	5187.729616
548	5186.765664
549	5185.860722
550	5185.144649
551	5184.418076
552	5183.43912
553	5183.064775
554	5182.279221
555	5181.654544
556	5180.986145
557	5180.229235
558	5179.532979
559	5178.917079
560	5178.437924
561	5177.800428
562	5177.185617
563	5176.19715
564	5175.628116
565	5174.978539
566	5174.257283
567	5173.162578
568	5172.511469
569	5172.035511
570	5171.806566
571	5171.0369
572	5170.12531
573	5168.971161
574	5168.438781
575	5168.138323
576	5167.301845
577	5166.496737
578	5165.336903
579	5164.613836
580	5164.397074
581	5163.688501
582	5163.324202
583	5162.421718
584	5161.89824
585	5161.288413
586	5160.979612
587	5160.62588
588	5160.111468
589	5159.416887
590	5158.851416
591	5158.242248
592	5157.692644
593	5156.385663
594	5155.7807
595	5155.200418
596	5154.536065
597	5153.842161
598	5152.985952
599	5152.536256
600	5151.996232
601	5151.586467
602	5150.653496
603	5150.03314
604	5149.329104
605	5149.032731
606	5147.912303
607	5146.968368
608	5146.03016
609	5145.179392
610	5144.725194
611	5144.270246
612	5143.724027
613	5143.013636
614	5142.408883
615	5142.007451
616	5141.423328
617	5140.419522
618	5139.661154
619	5139.035167
620	5138.752985
621	5138.501455
622	5137.636031
623	5136.970324
624	5135.982212
625	5135.338947
626	5135.274938
627	5134.909651
628	5134.267157
629	5133.649361
630	5133.093095
631	5132.203919
632	5131.608608
633	5130.992523
634	5130.868928
635	5130.0794
636	5129.541017
637	5128.792422
638	5128.434416
639	5128.043657
640	5127.516396
641	5127.030158
642	5126.526289
643	5125.790829
644	5125.332626
645	5124.462209
646	5123.883032
647	5123.36804
648	5122.491467
649	5122.012143
650	5121.570205
651	5121.14
652	5120.590332
653	5120.159435
654	5119.477175
655	5118.807353
656	5118.118028
657	5117.53942
658	5116.992139
659	5116.475597
660	5116.227564
661	5115.591701
662	5114.801931
663	5113.937086
664	5113.396783
665	5113.033613
666	5112.726384
667	5112.367318
668	5111.92745
669	5111.442402
670	5110.29343
671	5109.913237
672	5109.621977
673	5109.346579
674	5108.790891
675	5108.402213
676	5107.662333
677	5107.449816
678	5107.073892
679	5106.625403
680	5105.966304
681	5105.317852
682	5104.778443
683	5104.169738
684	5103.294719
685	5102.301423
686	5101.802689
687	5101.339051
688	5100.689142
689	5099.9281
690	5099.014893
691	5098.931561
692	5097.708342
693	5096.931187
694	5096.158646
695	5095.759562
696	5095.340969
697	5094.139474
698	5093.578611
699	5092.902261
700	5092.204942
701	5091.791162
702	5091.294189
703	5090.720941
704	5090.362261
705	5089.918838
706	5089.615484
707	5089.378321
708	5088.70126
709	5088.425257
710	5087.633358
711	5086.798113
712	5086.171946
713	5085.591384
714	5085.033173
715	5084.661229
716	5084.365746
717	5083.976607
718	5083.422708
719	5082.635598
720	5081.838769
721	5080.697017
722	5080.244019
723	5079.797117
724	5079.498634
725	5078.490483
726	5078.091532
727	5077.776003
728	5077.553674
729	5077.046439
730	5076.266026
731	5075.763824
732	5075.435644
733	5075.063016
734	5074.239005
735	5073.775749
736	5073.382465
737	5073.125144
738	5072.721795
739	5072.150492
740	5071.535922
741	5070.393524
742	5069.867443
743	5069.656504
744	5068.52198
745	5068.097029
746	5067.692706
747	5067.076392
748	5066.627038
749	5066.00743
750	5065.562477
751	5064.899076
752	5064.4743
753	5064.264853
754	5063.778519
755	5063.40412
756	5062.863777
757	5062.520634
758	5062.053713
759	5061.594996
760	5061.032425
761	5060.694958
762	5060.189572
763	5059.398256
764	5059.156047
765	5058.10913
766	5057.596256
767	5057.206816
768	5056.700381
769	5056.11766
770	5055.703743
771	5055.150254
772	5053.985889
773	5053.400238
774	5053.02679
775	5052.577127
776	5052.066667
777	5051.350768
778	5050.612142
779	5050.363492
780	5049.964878
781	5049.139787
782	5048.705567
783	5048.531966
784	5048.146733
785	5047.772891
786	5047.32862
787	5046.761431
788	5046.551707
789	5046.34875
790	5046.025504
791	5045.712712
792	5044.918447
793	5044.392794
794	5043.880167
795	5043.244845
796	5042.986127
797	5042.583184
798	5041.863809
799	5041.393354
800	5041.094995
801	5040.808812
802	5040.325744
803	5040.020644
804	5038.791279
805	5038.572833
806	5038.342411
807	5038.042192
808	5037.665171
809	5037.129138
810	5036.591057
811	5036.024212
812	5035.566572
813	5035.300134
814	5034.961534
815	5034.681824
816	5034.404661
817	5034.153686
818	5033.647693
819	5033.148306
820	5032.289931
821	5031.941098
822	5031.600478
823	5031.490466
824	5031.211855
825	5031.006195
826	5030.900083
827	5030.366041
828	5029.663187
829	5029.040327
830	5028.685793
831	5027.923921
832	5027.56451
833	5027.211335
834	5026.322271
835	5026.010402
836	5025.909173
837	5025.367652
838	5024.828724
839	5024.439485
840	5024.343848
841	5024.0628
842	5023.664458
843	5023.255701
844	5022.739475
845	5022.196358
846	5021.536855
847	5021.234315
848	5020.711551
849	5019.512019
850	5019.123707
851	5018.931362
852	5017.786249
853	5017.187536
854	5017.046624
855	5016.588751
856	5016.349554
857	5016.098025
858	5015.32432
859	5014.850893
860	5014.76016
861	5014.353439
862	5014.000472
863	5013.581801
864	5013.134001
865	5012.624719
866	5012.172825
867	5011.878569
868	5011.153143
869	5010.480537
870	5009.990008
871	5009.702859
872	5009.461223
873	5008.961477
874	5008.629383
875	5007.979144
876	5007.815248
877	5006.964902
878	5006.758523
879	5006.514418
880	5006.182661
881	5005.481193
882	5005.113574
883	5004.728945
884	5004.15839
885	5003.742714
886	5003.494137
887	5003.304623
888	5002.671238
889	5002.28561
890	5002.121105
891	5001.10509
892	5000.785544
893	5000.496759
894	5000.223328
895	4999.712429
896	4999.455424
897	4999.110092
898	4998.805579
899	4998.281288
900	4997.985469
901	4997.722306
902	4996.991617
903	4996.494817
904	4996.004565
905	4995.91866
906	4995.142516
907	4994.622634
908	4994.359394
909	4993.836124
910	4993.69324
911	4993.326257
912	4993.118249
913	4992.927471
914	4992.660181
915	4992.454439
916	4991.960686
917	4991.753739
918	4991.575122
919	4991.183158
920	4990.312547
921	4989.949746
922	4989.354379
923	4988.871211
924	4988.439179
925	4988.170551
926	4987.59782
927	4987.218337
928	4986.976484
929	4986.660667
930	4986.182551
931	4985.895338
932	4985.274033
933	4984.874087
934	4984.566313
935	4984.179654
936	4983.946441
937	4983.228989
938	4982.834934
939	4981.82628
940	4981.47929
941	4981.193729
942	4980.827815
943	4980.474954
944	4980.045743
945	4979.601008
946	4979.350144
947	4979.006476
948	4978.712123
949	4978.507506
950	4977.835415
951	4977.300117
952	4977.086185
953	4976.891834
954	4976.48671
955	4976.224424
956	4975.820765
957	4975.537618
958	4975.356476
959	4974.740464
960	4974.458445
961	4973.969258
962	4973.648982
963	4973.359918
964	4973.012353
965	4972.850052
966	4972.411316
967	4971.98366
968	4971.68115
969	4971.236546
970	4970.881149
971	4970.709517
972	4970.453727
973	4969.589993
974	4969.241041
975	4968.717554
976	4968.23257
977	4967.845264
978	4967.676537
979	4967.300658
980	4966.582369
981	4966.326829
982	4965.857493
983	4965.694424
984	4965.409209
985	4965.199374
986	4964.564029
987	4964.340044
988	4963.814375
989	4963.653899
990	4963.574008
991	4963.422307
992	4963.092217
993	4962.775773
994	4962.460967
995	4962.321165
996	4961.763901
997	4961.58347
998	4961.209439
999	4960.930265
